Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
,P/GUJ/UC-53/15/S/2,515.0,7.72,0.9,283.0,4.8,240,23.57196261682243,9.0,23.0,24.0,10.0,100.0,75.0,1.2,0.3,0.03,0.39,0.01,1.0
,P/GUJ/UC-53/15/C/2,521.0,7.81,0.8,287.0,4.8,240,23.57196261682243,9.0,24.0,28.0,10.0,110.0,76.0,3.1,0.2,0.03,0.36,0.04,1.0
Deona,P/GUJ/UC-29/17/S/1,4360.0,7.67,4.5,2895.0,8.4,420,23.57196261682243,401.0,1643.0,168.0,87.0,780.0,620.0,26.0,7.0,0.05,1.79,1.4,0.79
,P/GUJ/UC-29/17/S/2,3240.0,7.49,3.6,2065.0,6.4,320,23.57196261682243,385.0,1190.0,180.0,126.0,970.0,300.0,1.1,7.0,0.04,0.89,0.79,0.12
Majra,P/GUJ/UC-29/18/S/1,5110.0,7.53,6.0,3264.0,15.0,750,23.57196261682243,857.0,1810.0,176.0,75.0,750.0,720.0,15.0,6.0,0.09,0.85,0.65,0.61
,P/GUJ/UC-29/18/S/2,1354.0,8.27,1.9,767.0,7.1,305,23.57196261682243,64.0,215.0,32.0,22.0,170.0,240.0,1.1,0.1,0.1,0.44,0.62,0.6
AALI,P/GUJ/UC-29/19/S/1,625.0,7.79,1.3,363.0,5.5,275,23.57196261682243,10.0,27.0,36.0,11.0,135.0,99.0,1.5,3.0,0.07,0.48,0.29,0.45
Sedhri,P/GUJ/UC-29/20/S/1,625.0,7.81,2.8,347.0,5.4,270,23.57196261682243,13.0,34.0,40.0,11.0,145.0,85.0,0.9,0.5,0.04,0.56,0.19,0.21
,P/GUJ/UC-29/20/C/1,619.0,7.74,3.9,362.0,5.4,270,23.57196261682243,15.0,39.0,56.0,2.0,150.0,85.0,1.0,0.5,0.06,0.52,0.15,0.13
,P/GUJ/UC-29/21/C/1,624.0,7.29,7.3,355.0,5.1,255,23.57196261682243,23.0,46.0,76.0,11.0,236.0,42.0,3.3,0.2,0.08,0.55,0.12,0.52
,P/GUJ/UC-29/21/C/2,625.0,7.83,1.2,332.0,5.0,250,23.57196261682243,23.0,35.0,72.0,9.0,215.0,40.0,1.8,0.2,0.07,0.54,0.14,0.58
Malik Pur,P/GUJ/UC-29/22/S/1,2570.0,8.24,14.7,1593.0,5.6,280,23.57196261682243,108.0,832.0,55.0,64.0,400.0,370.0,1.3,4.567280442804428,0.04,0.55,0.19,0.6
,P/GUJ/UC-29/22/C/1,1649.0,8.03,4.4,970.0,5.7,285,23.57196261682243,65.0,378.0,40.0,19.0,180.0,295.0,1.5,4.567280442804428,0.1,0.99,0.47,0.61
,P/GUJ/UC-29/22/C/2,1634.0,7.88,6.5,932.0,5.8,290,23.57196261682243,67.0,416.0,40.0,32.0,230.0,240.0,1.2,4.567280442804428,0.07,1.04,0.29,0.61
Malhli Khokhar,P/GUJ/UC-29/23/S/1,635.0,7.94,2.9,376.0,5.1,255,23.57196261682243,24.0,53.0,40.0,10.0,140.0,94.0,1.6,4.567280442804428,0.13,0.56,0.13,0.54
,P/GUJ/UC-29/23/C/1,635.0,7.99,4.0,354.0,4.6,230,23.57196261682243,21.0,36.0,52.0,4.0,45.0,88.0,1.4,0.3,0.08,0.35,0.14,0.5
,P/GUJ/UC-29/23/C/2,639.0,8.03,1.0,362.0,4.3,265,23.57196261682243,20.0,34.0,40.0,10.0,40.0,96.0,3.1,4.567280442804428,0.12,0.34,0.13,0.46
Joura,P/GUJ/UC-09/24/S/1,3900.0,7.35,19.7,2930.0,13.0,650,23.57196261682243,398.0,909.0,290.0,38.0,880.0,180.0,430.0,6.0,0.17,0.3,1.81,0.61
Maikan,P/GUJ/UC-09/25/S/1,855.0,8.15,3.1,492.0,7.6,380,23.57196261682243,14.0,68.0,24.0,17.0,130.0,140.0,1.0,4.567280442804428,0.05,0.83,0.17,0.21
"Bhaleeser
Bhatian",P/GUJ/UC-09/26/S/1,555.0,7.81,3.4,318.0,5.3,265,23.57196261682243,7.0,25.0,44.0,9.0,145.0,73.0,1.2,4.567280442804428,0.09,0.32,1.0,0.4
,P/GUJ/UC-09/26/C/1,555.0,7.67,2.0,323.0,5.3,265,23.57196261682243,10.0,23.0,40.0,10.0,150.0,75.0,104.0,0.1,0.05,0.33,0.21,0.5
,P/GUJ/UC-09/26/C/2,551.0,7.77,0.7,315.0,5.2,260,23.57196261682243,100.0,21.0,42.0,12.0,155.0,72.0,1.2,0.1,0.06,0.32,0.2,0.53
Bokan,P/GUJ/UC-09/27/S/1,570.0,7.92,0.9,312.0,5.3,265,23.57196261682243,12.0,17.0,40.0,17.0,170.0,65.0,1.3,0.1,0.07,0.28,0.12,0.64
,P/GUJ/UC-09/27/C/1,563.0,7.82,0.4,331.0,5.6,280,23.57196261682243,10.0,27.0,40.0,21.0,185.0,62.0,1.3,0.4,0.04,0.31,0.32,0.51
,P/GUJ/UC-09/27/C/2,2585.0,7.91,1.4,1603.0,4.3,215,23.57196261682243,130.0,855.0,128.0,53.0,540.0,315.0,2.9,0.2,0.05,0.88,0.13,0.61
Mankiana,P/GUJ/UC-11/28/S/1,590.0,8.21,26.0,333.0,5.4,270,23.57196261682243,7.0,40.0,48.0,10.0,160.0,63.0,1.1,0.5,0.04,0.52,0.06,0.49
,P/GUJ/UC-11/28/C/1,580.0,8.11,6.0,318.0,5.3,265,23.57196261682243,8.0,29.0,49.0,9.0,160.0,62.0,1.1,0.3,0.03,0.46,0.16,0.49
,P/GUJ/UC-11/28/C/2,570.0,7.84,2.6,327.0,5.4,270,23.57196261682243,6.0,27.0,36.0,22.0,180.0,71.0,1.3,0.3,0.09,0.49,0.18,0.6
Ugowal,P/GUJ/UC-11/29/S/1,511.0,8.25,1.8,297.0,4.9,245,23.57196261682243,8.0,21.0,32.0,17.0,150.0,70.0,1.5,4.567280442804428,0.1,0.35,0.07,0.63
,P/GUJ/UC-11/29/C/1,517.0,7.84,3.4,318.0,5.2,260,23.57196261682243,5.0,23.0,48.0,7.0,150.0,76.0,3.0,4.567280442804428,0.07,0.34,0.17,0.6
,P/GUJ/UC-11/29/C/2,525.0,7.91,4.9,290.0,5.0,250,23.57196261682243,5.0,17.0,40.0,7.0,130.0,70.0,0.9,0.1,0.05,0.33,0.28,0.55
Machiwal,P/GUJ/UC-12/30/S/1,1085.0,7.89,3.0,680.0,9.4,470,23.57196261682243,36.0,115.0,40.0,19.0,180.0,184.0,3.1,0.3,0.04,1.69,0.14,0.5
,P/GUJ/UC-12/30/S/2,1850.0,8.05,13.1,1080.0,10.3,515,23.57196261682243,58.0,346.0,40.0,34.0,240.0,290.0,1.5,0.6,0.04,2.24,0.02,0.69
Chandala,P/GUJ/UC-12/31/S/1,920.0,7.83,1.9,552.0,7.5,375,23.57196261682243,10.0,118.0,40.0,12.0,150.0,146.0,1.2,4.567280442804428,0.06,0.74,0.03,0.63
,P/GUJ/UC-12/31/C/1,815.0,8.11,3.1,480.0,7.4,370,23.57196261682243,12.0,58.0,40.0,7.0,130.0,138.0,1.4,0.3,0.03,0.8,0.05,0.29
,P/GUJ/UC-12/31/C/2,801.0,8.12,4.0,476.0,7.2,360,23.57196261682243,10.0,49.0,44.0,12.0,160.0,140.0,2.2,0.7,0.04,0.62,0.04,0.46
Matiainwala,P/GUJ/UC-31/32/S/1,623.0,7.67,3.2,350.0,6.0,300,23.57196261682243,13.0,26.0,100.0,7.0,280.0,20.0,0.9,0.8,0.05,0.36,0.09,0.56
,P/GUJ/UC-31/32/S/2,660.0,7.44,3.2,382.0,6.6,330,23.57196261682243,12.0,19.0,100.0,12.0,300.0,22.0,0.9,0.4,0.04,0.39,0.0,0.12
Hariawala,P/GUJ/GUJ/UC-26/33/S/1,876.0,8.08,2.11,482.0,5.5,275,23.57196261682243,51.0,90.0,40.0,17.0,170.0,102.0,27.5,0.3,0.13,0.35,0.25,0.11
,P/GUJ/GUJ/UC-26/33/C/1,688.0,7.98,3.9,378.0,5.3,265,23.57196261682243,30.0,53.0,22.0,19.0,135.0,94.0,3.6,0.4,0.09,0.38,0.42,0.14
Narowali,P/GUJ/GUJ/UC-26/34/S/1,582.0,8.2,2.9,320.0,4.8,240,23.57196261682243,8.0,43.0,30.0,10.0,115.0,82.0,2.0,0.5,0.07,0.27,0.26,0.12
,P/GUJ/GUJ/UC-26/34/C/1,568.0,8.51,1.1,312.0,4.7,205,30.0,8.0,44.0,26.0,11.0,110.0,81.0,2.0,0.0,0.05,0.29,0.19,0.21
,P/GUJ/GUJ/UC-26/34/C/2,568.0,8.53,3.9,312.0,4.7,205,30.0,7.0,42.0,26.0,11.0,110.0,83.0,2.1,0.1,0.11,0.28,0.28,0.44
Kot Gondal,P/GUJ/GUJ/UC-26/36/C/1,558.0,7.93,1.9,307.0,5.1,255,23.57196261682243,8.0,29.0,30.0,17.0,145.0,76.0,2.7,0.4,0.14,0.3,0.21,0.19
,P/GUJ/GUJ/UC-26/36/C/2,607.0,8.57,3.2,334.0,5.4,240,30.0,6.0,36.0,30.0,18.0,150.0,77.0,2.4,0.0,0.17,3.0,0.14,1.31
Lund Pur,P/GUJ/GUJ/UC-26/37/S/1,511.0,8.3,1.8,281.0,4.4,220,23.57196261682243,7.0,26.0,30.0,9.0,110.0,72.0,1.1,0.4,0.1,0.32,0.21,1.18
,P/GUJ/GUJ/UC-26/37/C/1,518.0,8.3,2.9,285.0,4.6,230,23.57196261682243,6.0,24.0,28.0,7.0,100.0,77.0,1.1,0.5,0.09,0.32,0.02,1.32
,P/GUJ/GUJ/UC-26/37/C/2,510.0,8.18,2.1,281.0,4.4,220,23.57196261682243,7.0,30.0,26.0,9.0,100.0,74.0,1.1,0.3,0.13,0.33,0.81,1.31
,P/GUJ/GUJ/UC-27/38/C/1,615.0,7.96,0.9,338.0,6.3,315,23.57196261682243,4.0,25.0,40.0,19.0,180.0,67.0,2.7,0.6,0.17,0.19,0.34,1.3
,P/GUJ/GUJ/UC-27/38/C/2,625.0,8.05,0.4,344.0,6.1,305,23.57196261682243,6.0,20.0,52.0,17.0,200.0,60.0,2.4,0.8,0.21,0.18,0.18,1.46
,P/GUJ/GUJ/UC-27/39/C/1,565.0,8.04,1.9,311.0,5.6,280,23.57196261682243,1.0,7.0,44.0,15.0,170.0,56.0,2.7,0.6,0.19,0.18,0.84,1.99
,P/GUJ/GUJ/UC-27/39/C/2,954.0,7.67,1.8,525.0,6.5,325,23.57196261682243,28.0,125.0,56.0,60.0,385.0,50.0,21.4,0.6,0.15,0.19,0.42,0.24
Gurala,P/GUJ/GUJ/UC-27/40/S/1,634.0,8.18,1.2,349.0,5.8,290,23.57196261682243,5.0,22.0,36.0,23.0,185.0,64.0,3.9,0.4,0.2,0.18,0.0,0.14
,P/GUJ/GUJ/UC-27/40/C/1,640.0,7.92,1.2,352.0,5.9,295,23.57196261682243,4.0,34.0,38.0,23.0,190.0,68.0,3.6,0.3,0.05,0.17,0.62,0.14
,P/GUJ/GUJ/UC-27/40/C/2,629.0,8.0,1.1,346.0,6.1,305,23.57196261682243,85.9166806899453,32.0,40.0,22.0,190.0,68.0,2.9,0.2,0.13,0.2,0.32,0.14
,P/GUJ/GUJ/UC-27/41/C/1,502.0,8.02,4.6,276.0,5.2,260,23.57196261682243,1.0,6.0,40.0,16.0,165.0,48.0,2.4,0.3,0.09,0.1,0.32,1.33
,P/GUJ/GUJ/UC-27/41/C/2,495.0,7.84,3.2,272.0,5.1,255,23.57196261682243,1.0,6.0,40.0,16.0,165.0,48.0,2.4,0.6,0.1,0.09,0.02,0.44
Samma,P/GUJ/GUJ/UC-27/42/S/1,378.0,8.28,4.9,208.0,3.8,190,23.57196261682243,1.0,2.0,24.0,10.0,100.0,50.0,2.6,0.5,0.11,0.12,0.94,0.43
,P/GUJ/GUJ/UC-27/42/C/1,499.0,8.22,3.9,274.0,5.4,270,23.57196261682243,1.0,2.0,40.0,12.0,150.0,51.0,2.8,0.4,0.09,0.11,0.24,0.49
,P/GUJ/GUJ/UC-27/42/C/2,501.0,8.02,0.9,276.0,5.5,275,23.57196261682243,1.0,2.0,40.0,13.0,155.0,49.0,2.5,0.6,0.1,0.1,1.25,1.94
"WSSDheer Key
Kalan",P/GUJ/GUJ/UC-27/43/S/1,430.0,8.27,0.9,237.0,4.5,225,23.57196261682243,1.0,3.0,28.0,10.0,110.0,57.0,1.8,0.5,0.07,0.19,0.57,1.94
,P/GUJ/GUJ/UC-27/45/C/1,439.0,8.08,0.37,241.0,4.6,230,23.57196261682243,1.0,7.0,30.0,13.0,130.0,55.0,1.8,0.3,0.21,0.23,0.99,0.2
,P/GUJ/GUJ/UC-19/47/C/1,751.0,8.41,0.42,451.0,4.7,235,23.57196261682243,19.0,122.0,40.0,5.0,120.0,120.0,1.1,0.4,0.19,0.73,0.31,3.21
,P/GUJ/GUJ/UC-19/47/C/2,932.0,8.32,0.46,559.0,5.8,290,23.57196261682243,39.0,154.0,20.0,15.0,110.0,160.0,2.4,0.3,0.21,0.71,0.99,3.03
Gorsian,P/GUJ/GUJ/UC-18/48/S/1,2190.0,7.55,0.34,7558.0,12.8,640,23.57196261682243,656.0,3830.0,264.0,134.0,1210.0,2244.0,7.0,0.5,0.17,1.7,0.06,3.92
,P/GUJ/GUJ/UC-18/48/C/1,3820.0,7.95,0.27,2368.0,5.5,275,23.57196261682243,530.0,883.0,84.0,83.0,550.0,600.0,3.0,0.3,0.09,0.87,0.02,4.2
,P/GUJ/GUJ/UC-18/48/C/2,3720.0,7.93,0.53,2306.0,5.6,280,23.57196261682243,533.0,848.0,90.0,86.0,580.0,580.0,3.0,0.6,0.13,0.85,0.21,4.09
Ali Pur,P/GUJ/GUJ/UC-28/49/S/1,580.0,7.92,0.04,319.0,5.6,280,23.57196261682243,7.0,20.0,56.0,11.0,185.0,60.0,2.2,0.5,0.07,0.26,0.15,4.35
,P/GUJ/GUJ/UC-28/49/C/2,657.0,7.96,0.88,361.0,5.9,295,23.57196261682243,16.0,39.0,58.0,11.0,190.0,68.0,2.2,0.2,0.04,0.26,0.18,2.3
Daulat Nagar,P/GUJ/GUJ/UC-10/50/S/1,1511.0,8.38,0.5,907.0,6.1,305,23.57196261682243,120.0,121.0,42.0,26.0,210.0,42.0,290.0,14.0,0.11,0.74,0.24,2.4
,P/GUJ/GUJ/UC-10/50/S/2,1198.0,7.84,0.5,659.0,4.1,205,23.57196261682243,137.0,99.0,64.0,41.0,330.0,36.0,100.0,14.0,0.09,0.48,0.15,0.45
,P/GUJ/GUJ/UC-10/51/S/2,873.0,8.43,0.27,480.0,8.2,390,20.0,17.0,35.0,60.0,29.0,270.0,103.0,2.3,0.7,0.14,1.41,0.0,0.23
,P/GUJ/GUJ/UC-32/52/S/2,1014.0,7.5,1.9,558.0,7.5,375,23.57196261682243,29.0,57.0,80.0,32.0,330.0,94.0,2.0,13.0,0.21,0.32,0.0,0.24
Tanda,P/GUJ/GUJ/UC-33/55/S/1,486.0,7.86,1.5,267.0,4.6,230,23.57196261682243,8.0,4.0,38.0,21.0,180.0,26.0,2.2,2.0,0.05,0.21,0.02,0.01
Kala Khasa,P/GUJ/GUJ/UC-50/57/S/1,522.0,8.1,1.82,287.0,5.1,255,23.57196261682243,10.0,9.0,44.0,16.0,175.0,52.0,4.6,0.3,0.07,0.3,0.18,0.18
Kalra Kalan,P/GUJ/GUJ/UC-50/58/S/1,579.0,7.98,1.9,318.0,5.5,275,23.57196261682243,6.0,30.0,40.0,16.0,165.0,58.0,2.5,0.7,0.03,0.3,0.21,1.44
Mahmoodabad,P/GUJ/GUJ/UC-2/59/S/1,652.0,8.17,0.1,359.0,6.4,320,23.57196261682243,8.0,23.0,24.0,29.0,180.0,87.0,1.6,0.6,0.09,0.4,0.08,0.69
,P/GUJ/GUJ/UC-2/59/C/1,636.0,8.2,0.07,350.0,6.2,310,23.57196261682243,7.0,20.0,30.0,22.0,165.0,87.0,1.6,1.0,0.07,0.39,0.04,0.64
,P/GUJ/GUJ/UC-2/60/C/1,524.0,7.7,2.03,288.0,5.4,270,23.57196261682243,6.0,8.0,48.0,17.0,190.0,39.0,2.1,0.4,0.03,0.2,0.21,1.81
Chodowal,P/GUJ/GUJ/UC-8/61/S/1,442.0,8.3,1.26,243.0,4.0,200,23.57196261682243,6.0,13.0,32.0,9.0,115.0,50.0,1.5,1.0,0.02,0.32,0.21,1.2
,P/GUJ/GUJ/UC-8/61/C/1,504.0,7.97,0.27,277.0,5.2,260,23.57196261682243,6.0,3.0,40.0,15.0,160.0,60.0,1.5,1.0,0.04,0.31,0.21,1.7
,P/GUJ/GUJ/UC-8/61/C/2,528.0,8.3,0.19,290.0,5.5,275,23.57196261682243,5.0,4.0,40.0,16.0,165.0,60.0,1.4,1.0,0.04,0.32,0.14,1.59
Banwanta,P/GUJ/GUJ/UC-7/62/S/1,518.0,8.14,1.3,285.0,5.3,265,23.57196261682243,6.0,5.0,38.0,18.0,170.0,58.0,1.6,1.0,0.07,0.38,0.16,0.38
,P/GUJ/GUJ/UC-7/62/C/1,526.0,8.3,1.18,289.0,5.3,265,23.57196261682243,6.0,4.0,40.0,17.0,170.0,58.0,1.4,1.0,0.1,0.39,0.08,0.61
Gil Koliwal,P/GUJ/KHA/12/S/1,692.0,7.98,0.8,389.0,6.4,320,23.57196261682243,11.0,39.0,22.0,11.0,100.0,112.0,1.5,0.0,0.12,0.41,1.27,0.37
,P/GUJ/KHA/12/C/1,724.0,7.76,0.7,399.0,6.4,325,23.57196261682243,10.0,41.0,26.0,12.0,115.0,114.0,1.4,0.0,0.08,0.42,0.87,0.65
,P/GUJ/KHA/12/C/2,733.0,7.91,0.2,424.0,6.8,340,23.57196261682243,14.0,44.0,20.0,22.0,140.0,118.0,1.9,4.567280442804428,0.07,0.41,0.67,0.43
Kotla,P/GUJ/KHA/13/S/1,673.0,7.76,0.9,371.0,6.9,345,23.57196261682243,9.0,7.0,24.0,15.0,120.0,110.0,1.4,0.2,0.05,0.79,0.5,0.03
,P/GUJ/KHA/13/S/2,687.0,7.79,0.18,431.0,7.0,350,23.57196261682243,35.0,11.0,40.0,17.0,170.0,115.0,1.9,4.567280442804428,0.08,0.76,0.47,0.07
,P/GUJ/KHA/37/S/2,772.0,7.91,1.9,423.0,7.3,365,23.57196261682243,12.0,19.0,68.0,26.0,275.0,55.0,1.7,5.0,0.05,0.39,0.07,0.37
Amran Kalan,P/GUJ/KHA/39/C/1,2060.0,7.7,1.4,1236.0,8.0,400,23.57196261682243,120.0,439.0,78.0,86.0,550.0,176.0,65.0,0.4,0.13,1.25,0.45,0.53
,P/GUJ/KHA/39/C/2,2080.0,7.26,1.7,1248.0,8.4,420,23.57196261682243,122.0,444.0,76.0,90.0,560.0,180.0,70.0,0.4,0.09,0.87,0.05,0.27
Amran Khurd,P/GUJ/KHA/40/S/1,815.0,8.42,1.1,489.0,4.0,200,23.57196261682243,62.0,120.0,24.0,17.0,130.0,126.0,3.5,1.0,0.1,0.47,0.8,0.19
,P/GUJ/KHA/40/C/2,800.0,8.05,2.7,480.0,6.2,310,23.57196261682243,34.0,67.0,56.0,24.0,240.0,90.0,3.5,1.0,0.06,0.45,0.04,0.53
Kalas,P/GUJ/KHA/41/S/1,518.0,8.18,4.3,285.0,4.2,225,23.57196261682243,6.0,20.0,50.0,21.0,210.0,22.0,1.5,0.5,0.14,0.39,0.04,0.32
,P/GUJ/KHA/41/C/1,520.0,7.96,1.1,286.0,4.4,230,23.57196261682243,6.0,17.0,50.0,21.0,220.0,22.0,1.5,0.5,0.11,0.41,0.07,0.33
,P/GUJ/KHA/41/C/2,525.0,8.16,2.3,289.0,4.4,235,23.57196261682243,6.0,17.0,52.0,22.0,220.0,22.0,1.5,0.6,0.09,0.4,0.02,0.35
Topa Adam,P/GUJ/KHA/42/C/1,2560.0,7.74,1.8,1536.0,3.9,195,23.57196261682243,207.0,780.0,132.0,100.0,740.0,200.0,6.0,0.4,0.17,0.62,0.45,0.16
,P/GUJ/KHA/42/C/2,2360.0,7.36,3.9,1416.0,4.0,200,23.57196261682243,166.0,720.0,130.0,91.0,700.0,195.0,2.0,0.4,0.13,0.36,0.46,0.59
,P/GUJ/KHA/43/C/1,635.0,9.14,15.3,349.0,5.2,260,30.0,17.0,50.0,28.0,16.0,135.0,90.0,1.1,0.2,0.09,0.52,0.92,0.92
,P/GUJ/KHA/43/C/2,661.0,8.85,3.9,364.0,5.3,265,20.0,17.0,53.0,30.0,16.0,140.0,92.0,1.2,0.2,0.14,0.54,0.31,0.83
Bibarian,P/GUJ/KHA/44/C/1,2540.0,8.46,4.8,1536.0,6.0,300,20.0,143.0,724.0,40.0,73.0,400.0,390.0,1.3,0.8,0.1,0.87,0.03,0.4
,P/GUJ/KHA/44/C/2,718.0,8.51,1.4,395.0,4.5,225,20.0,4.0,116.0,22.0,16.0,120.0,110.0,1.2,0.3,0.06,0.49,0.23,0.35
,P/GUJ/KHA/45/C/1,698.0,8.04,1.9,384.0,5.5,275,30.0,5.0,62.0,24.0,12.0,110.0,114.0,1.1,0.1,0.07,0.38,0.1,0.52
,P/GUJ/KHA/45/C/2,698.0,8.68,1.4,384.0,5.4,270,30.0,6.0,62.0,26.0,11.0,110.0,110.0,1.2,0.1,0.1,0.39,0.21,0.56
Dulan Wala,P/GUJ/KHA/46/S/1,2820.0,8.3,2.4,1692.0,5.0,250,23.57196261682243,35.0,660.0,72.0,87.0,540.0,365.0,2.1,2.0,0.12,0.82,0.37,0.63
,P/GUJ/KHA/46/C/1,860.0,8.24,2.9,473.0,5.6,280,23.57196261682243,55.0,81.0,24.0,19.0,140.0,136.0,1.5,0.3,0.09,0.39,0.19,0.19
,P/GUJ/KHA/46/C/2,880.0,8.46,1.7,484.0,5.5,275,23.57196261682243,57.0,85.0,28.0,18.0,145.0,138.0,1.5,0.3,0.14,0.43,0.04,0.16
Chokar Kalan,P/GUJ/KHA/47/C/1,2013.0,7.83,2.9,1208.0,11.3,565,23.57196261682243,114.0,310.0,96.0,43.0,445.0,250.0,2.8,0.3,0.05,0.57,0.07,0.82
,P/GUJ/KHA/48/C/2,1028.0,8.2,1.1,617.0,4.6,230,23.57196261682243,68.0,190.0,16.0,11.0,80.0,188.0,1.1,0.5,0.14,0.82,0.03,0.85
Hafizabad City,P/HFZ/HZA/01/S/1,754.0,8.12,1.9,415.0,6.2,315,23.57196261682243,19.0,50.0,115.0,27.0,315.0,88.0,6.5,0.3,0.5,0.37,0.2,27.0
,P/HFZ/HZA/01/S/2,920.0,7.65,2.1,506.0,7.7,385,23.57196261682243,28.0,57.0,120.0,29.0,385.0,110.0,6.5,0.6,0.1,0.38,0.8,28.3
,P/HFZ/HZA/01/S/3,915.0,7.98,1.0,503.0,7.6,380,23.57196261682243,23.0,60.0,48.0,29.0,380.0,105.0,6.4,0.6,0.13,0.38,7.6,33.0
,P/HFZ/HZA/01/S/4,828.0,7.72,1.1,455.0,6.7,335,23.57196261682243,24.0,38.0,40.0,27.0,335.0,90.0,6.5,0.4,0.07,0.39,0.04,13.1
Kasukey,P/HFZ/HZA/02/C/1,857.0,7.72,0.2,471.0,7.9,395,23.57196261682243,29.0,76.0,62.0,32.0,395.0,82.0,7.4,0.2,0.11,0.62,0.45,5.98
,P/HFZ/HZA/02/C/2,1641.0,7.81,1.1,985.0,7.2,360,23.57196261682243,86.0,323.0,104.0,47.0,360.0,140.0,70.0,0.4,0.09,0.5,0.2,0.39
Kot Hassan Khan,P/HFZ/HZA/03/S/1,857.0,7.88,0.7,471.0,5.8,290,23.57196261682243,25.0,105.0,36.0,32.0,290.0,94.0,8.2,0.3,0.03,0.65,0.02,13.8
,P/HFZ/HZA/04/C/2,1680.0,7.67,0.09,1008.0,12.0,600,23.57196261682243,97.0,167.0,50.0,49.0,600.0,250.0,11.5,0.7,0.1,1.68,0.07,2.11
Winni,P/HFZ/HZA/05/C/1,1359.0,7.92,1.2,815.0,8.5,425,23.57196261682243,72.0,154.0,24.0,30.0,425.0,130.0,135.0,0.5,0.13,0.46,0.03,1.6
Dhunny,P/HFZ/HZA/06/C/1,1843.0,8.12,0.06,1106.0,8.6,430,23.57196261682243,129.0,363.0,30.0,117.0,430.0,205.0,6.0,2.8,0.1,0.83,0.09,2.35
,P/HFZ/HZA/06/C/2,2720.0,7.5,0.2,1632.0,13.0,650,23.57196261682243,234.0,466.0,110.0,84.0,650.0,330.0,6.8,0.4,0.07,0.76,0.25,1.7
,P/HFZ/HZA/07/S/2,598.0,8.15,11.3,303.0,4.3,205,23.57196261682243,22.0,32.0,40.0,22.0,205.0,42.0,2.8,0.2,0.05,0.48,0.01,22.7
,P/HFZ/HZA/07/C/2,579.0,8.23,8.42,244.0,3.4,710,23.57196261682243,9.0,44.0,40.0,19.0,710.0,25.0,2.8,0.1,0.1,0.49,0.19,22.7
,P/HFZ/HZA/08/C/2,1052.0,8.3,3.29,631.0,8.7,435,23.57196261682243,40.0,62.0,48.0,24.0,435.0,90.0,105.0,0.1,0.05,0.5,0.08,34.8
Kolo Tarar,P/HFZ/HZA/09/S/1,1028.0,7.9,0.2,617.0,6.8,340,23.57196261682243,39.0,125.0,44.0,32.0,340.0,136.0,4.7,2.0,0.04,0.46,0.1,28.9
,P/HFZ/HZA/09/C/1,1012.0,8.02,4.28,607.0,7.3,385,23.57196261682243,38.0,96.0,44.0,29.0,385.0,134.0,4.5,2.0,0.07,0.48,0.28,26.3
,P/HFZ/HZA/09/C/2,1020.0,7.7,0.7,612.0,8.0,400,23.57196261682243,40.0,102.0,42.0,32.0,400.0,134.0,4.5,2.0,0.07,0.48,0.21,24.8
Uddioke,P/HFZ/HZA/10/C/1,1110.0,8.28,0.2,611.0,9.3,465,23.57196261682243,34.0,67.0,30.0,57.0,465.0,106.0,21.0,0.1,0.07,0.66,0.21,5.36
,P/HFZ/HZA/10/C/2,1879.0,8.0,0.1,1127.0,12.2,610,23.57196261682243,58.0,311.0,46.0,63.0,610.0,260.0,8.5,0.4,0.1,1.08,0.15,6.2
Kalke Mondy,P/HFZ/HZA/11/S/1,648.0,7.97,0.7,356.0,5.2,260,23.57196261682243,10.0,49.0,36.0,17.0,260.0,58.0,4.8,0.2,0.07,0.35,0.06,13.4
,P/HFZ/PBT/01/C/2,1874.0,7.75,0.18,1124.0,10.8,540,23.57196261682243,55.0,319.0,120.0,45.0,485.0,200.0,75.0,0.5,0.14,0.86,0.42,1.05
,P/HFZ/PBT/01/C/3,1680.0,7.65,59.0,1008.0,8.4,420,23.57196261682243,78.0,349.0,92.0,38.0,385.0,200.0,79.0,0.8,0.13,0.49,0.31,29.6
Hassan Pura,P/HFZ/PBT/02/C/1,1565.0,7.8,0.6,939.0,8.3,415,23.57196261682243,50.0,317.0,96.0,36.0,390.0,185.0,7.2,1.0,0.15,0.87,0.61,4.07
,P/HFZ/PBT/02/C/3,1331.0,7.85,0.2,799.0,7.4,370,23.57196261682243,25.0,261.0,72.0,44.0,360.0,175.0,5.8,0.6,0.09,0.84,0.21,3.49
"Agriculture
Colony",P/HFZ/PBT/03/C/1,1341.0,7.77,10.4,805.0,7.4,370,23.57196261682243,26.0,266.0,80.0,40.0,365.0,170.0,6.0,0.8,0.14,0.87,0.32,1.28
,P/HFZ/PBT/03/C/2,2810.0,7.34,0.8,1686.0,13.8,690,23.57196261682243,198.0,447.0,110.0,57.0,510.0,410.0,4.8,0.5,0.21,0.5,0.14,0.48
,P/HFZ/PBT/03/C/3,929.0,8.1,1.0,511.0,5.4,270,23.57196261682243,18.0,148.0,60.0,33.0,285.0,88.0,4.3,0.6,0.09,2.28,0.2,0.47
